Started sim OpenDominion\Sim\Firewalker\Alchs\Sim at 2021-03-04 22:52:40
Tick 0 (day 4 hr 0): 800			 op: 0;	dp: 7642;	u1: 0;	u2: 745;	u3: 885;	u4: 0;	peas: 10310
Tick 12 (day 4 hr 12): 800			 op: 0;	dp: 12973;	u1: 0;	u2: 745;	u3: 1860;	u4: 0;	peas: 9279
Tick 24 (day 5 hr 0): 833			 op: 0;	dp: 17664;	u1: 0;	u2: 1341;	u3: 2362;	u4: 0;	peas: 9375
Tick 36 (day 5 hr 12): 979			 op: 0;	dp: 17969;	u1: 0;	u2: 1532;	u3: 2362;	u4: 0;	peas: 11867
Tick 48 (day 6 hr 0): 1128			 op: 0;	dp: 18369;	u1: 0;	u2: 1674;	u3: 2362;	u4: 0;	peas: 13828
Tick 60 (day 6 hr 12): 1273			 op: 0;	dp: 20850;	u1: 0;	u2: 2371;	u3: 2362;	u4: 0;	peas: 15811
Tick 72 (day 7 hr 0): 1345			 op: 0;	dp: 24605;	u1: 0;	u2: 3407;	u3: 2362;	u4: 0;	peas: 16491
Tick 84 (day 7 hr 12): 1447			 op: 0;	dp: 28878;	u1: 0;	u2: 4614;	u3: 2362;	u4: 0;	peas: 17654
Tick 96 (day 8 hr 0): 1515			 op: 0;	dp: 31365;	u1: 0;	u2: 5443;	u3: 2362;	u4: 0;	peas: 18864
Tick 108 (day 8 hr 12): 1609			 op: 0;	dp: 35571;	u1: 0;	u2: 6642;	u3: 2362;	u4: 0;	peas: 20600
Tick 120 (day 9 hr 0): 1683			 op: 0;	dp: 38709;	u1: 0;	u2: 7612;	u3: 2362;	u4: 0;	peas: 21531
Tick 132 (day 9 hr 12): 1781			 op: 0;	dp: 42764;	u1: 0;	u2: 8804;	u3: 2362;	u4: 0;	peas: 23002
Tick 144 (day 10 hr 0): 1866			 op: 0;	dp: 46063;	u1: 0;	u2: 9787;	u3: 2362;	u4: 0;	peas: 23307
Tick 156 (day 10 hr 12): 1957			 op: 0;	dp: 50610;	u1: 0;	u2: 11165;	u3: 2362;	u4: 0;	peas: 24016
Tick 168 (day 11 hr 0): 2042			 op: 0;	dp: 55543;	u1: 0;	u2: 12597;	u3: 2362;	u4: 0;	peas: 24123
Tick 180 (day 11 hr 12): 2133			 op: 0;	dp: 60418;	u1: 0;	u2: 14082;	u3: 2362;	u4: 0;	peas: 24879
Tick 192 (day 12 hr 0): 2222			 op: 0;	dp: 64915;	u1: 0;	u2: 15331;	u3: 2362;	u4: 0;	peas: 25041
Tick 204 (day 12 hr 12): 2285			 op: 0;	dp: 69242;	u1: 0;	u2: 15578;	u3: 3051;	u4: 0;	peas: 25262
Tick 216 (day 13 hr 0): 2305			 op: 0;	dp: 78862;	u1: 0;	u2: 15578;	u3: 4923;	u4: 0;	peas: 23142
Tick 228 (day 13 hr 12): 2308			 op: 0;	dp: 89779;	u1: 0;	u2: 15578;	u3: 7043;	u4: 0;	peas: 21903
