Started sim OpenDominion\Sim\Firewalker\TechsGtSpecs\Sim at 2021-02-26 18:11:46
Tick 0 (day 4 hr 0): 810
Tick 12 (day 4 hr 12): 810
Tick 24 (day 5 hr 0): 909
Tick 36 (day 5 hr 12): 1055
Tick 48 (day 6 hr 0): 1138
Tick 60 (day 6 hr 12): 1238
Tick 72 (day 7 hr 0): 1295
Tick 84 (day 7 hr 12): 1379
Tick 96 (day 8 hr 0): 1432
Tick 108 (day 8 hr 12): 1514
Tick 120 (day 9 hr 0): 1574
Tick 132 (day 9 hr 12): 1640
Tick 144 (day 10 hr 0): 1712
Tick 156 (day 10 hr 12): 1782
Tick 168 (day 11 hr 0): 1832
Tick 180 (day 11 hr 12): 1907
Tick 192 (day 12 hr 0): 1960
Tick 204 (day 12 hr 12): 2040
Tick 216 (day 13 hr 0): 2094
Tick 228 (day 13 hr 12): 2160
Tick 240 (day 14 hr 0): 2224
Tick 252 (day 14 hr 12): 2294
Tick 264 (day 15 hr 0): 2360
Tick 276 (day 15 hr 12): 2444
Tick 288 (day 16 hr 0): 2508
Tick 300 (day 16 hr 12): 2590
Tick 312 (day 17 hr 0): 2657
Tick 324 (day 17 hr 12): 2738
Tick 336 (day 18 hr 0): 2826
Tick 348 (day 18 hr 12): 2917
Tick 360 (day 19 hr 0): 3011
Tick 372 (day 19 hr 12): 3103
Tick 384 (day 20 hr 0): 3188
Tick 396 (day 20 hr 12): 3282
Tick 408 (day 21 hr 0): 3367
Tick 420 (day 21 hr 12): 3462
Tick 432 (day 22 hr 0): 3549
Tick 444 (day 22 hr 12): 3643
Tick 456 (day 23 hr 0): 3712
Tick 468 (day 23 hr 12): 3790
Tick 480 (day 24 hr 0): 3879
Tick 492 (day 24 hr 12): 3960
Tick 504 (day 25 hr 0): 4058
Tick 516 (day 25 hr 12): 4135
Tick 528 (day 26 hr 0): 4250
Tick 540 (day 26 hr 12): 4338
Tick 552 (day 27 hr 0): 4444
Tick 564 (day 27 hr 12): 4534
Tick 576 (day 28 hr 0): 4636
Tick 588 (day 28 hr 12): 4735
Tick 600 (day 29 hr 0): 4829
Tick 612 (day 29 hr 12): 4919
Tick 624 (day 30 hr 0): 4972
Tick 636 (day 30 hr 12): 5053
Tick 648 (day 31 hr 0): 5173
Tick 660 (day 31 hr 12): 5251
Tick 672 (day 32 hr 0): 5344
Tick 684 (day 32 hr 12): 5427
Tick 696 (day 33 hr 0): 5518
Tick 708 (day 33 hr 12): 5600
Tick 720 (day 34 hr 0): 5665
Tick 732 (day 34 hr 12): 5739
Tick 744 (day 35 hr 0): 5800
Tick 756 (day 35 hr 12): 5873
Tick 768 (day 36 hr 0): 5956
Tick 780 (day 36 hr 12): 6027
Tick 792 (day 37 hr 0): 6107
Tick 804 (day 37 hr 12): 6177
Tick 816 (day 38 hr 0): 6266
Tick 828 (day 38 hr 12): 6331
Tick 840 (day 39 hr 0): 6414
Tick 852 (day 39 hr 12): 6488
Tick 864 (day 40 hr 0): 6570
Tick 876 (day 40 hr 12): 6641
Tick 888 (day 41 hr 0): 6724
Tick 900 (day 41 hr 12): 6794
Tick 912 (day 42 hr 0): 6875
Tick 924 (day 42 hr 12): 6946
Tick 936 (day 43 hr 0): 7027
Tick 948 (day 43 hr 12): 7100
Tick 960 (day 44 hr 0): 7190
Tick 972 (day 44 hr 12): 7266
Tick 984 (day 45 hr 0): 7361
Tick 996 (day 45 hr 12): 7435
Tick 1008 (day 46 hr 0): 7528
Tick 1020 (day 46 hr 12): 7602
Tick 1032 (day 47 hr 0): 7694
Tick 1044 (day 47 hr 12): 7763
Tick 1056 (day 48 hr 0): 7852
Tick 1068 (day 48 hr 12): 7921
Tick 1080 (day 49 hr 0): 8003
Tick 1092 (day 49 hr 12): 8070
Tick 1104 (day 50 hr 0): 8137
