Started sim OpenDominion\Sim\Icekin\Convert\Base\Sim at 2021-03-02 21:07:18
Tick 0 (day 4 hr 0): 804
Tick 12 (day 4 hr 12): 804
Tick 24 (day 5 hr 0): 824
Tick 36 (day 5 hr 12): 895
Tick 48 (day 6 hr 0): 915
Tick 60 (day 6 hr 12): 1026
Tick 72 (day 7 hr 0): 1046
Tick 84 (day 7 hr 12): 1142
Tick 96 (day 8 hr 0): 1162
Tick 108 (day 8 hr 12): 1273
Tick 120 (day 9 hr 0): 1309
Tick 132 (day 9 hr 12): 1433
Tick 144 (day 10 hr 0): 1458
Tick 156 (day 10 hr 12): 1581
Tick 168 (day 11 hr 0): 1601
Tick 180 (day 11 hr 12): 1683
Tick 192 (day 12 hr 0): 1710
Tick 204 (day 12 hr 12): 1829
Tick 216 (day 13 hr 0): 1849
Tick 228 (day 13 hr 12): 1958
Tick 240 (day 14 hr 0): 1978
Tick 252 (day 14 hr 12): 2024
Tick 264 (day 15 hr 0): 2126
Tick 276 (day 15 hr 12): 2221
Tick 288 (day 16 hr 0): 2241
Tick 300 (day 16 hr 12): 2315
Tick 312 (day 17 hr 0): 2366
Tick 324 (day 17 hr 12): 2470
Tick 336 (day 18 hr 0): 2573
Tick 348 (day 18 hr 12): 2655
Tick 360 (day 19 hr 0): 2675
Tick 372 (day 19 hr 12): 2780
Tick 384 (day 20 hr 0): 2879
Tick 396 (day 20 hr 12): 2966
Tick 408 (day 21 hr 0): 3022
Tick 420 (day 21 hr 12): 3022
Tick 432 (day 22 hr 0): 3042
Tick 444 (day 22 hr 12): 3042
Tick 456 (day 23 hr 0): 3062
Tick 468 (day 23 hr 12): 3062
Tick 480 (day 24 hr 0): 3082
Tick 492 (day 24 hr 12): 3082
Tick 504 (day 25 hr 0): 3102
Tick 516 (day 25 hr 12): 3102
Tick 528 (day 26 hr 0): 3122
Tick 540 (day 26 hr 12): 3122
Tick 552 (day 27 hr 0): 3142
Tick 564 (day 27 hr 12): 3142
Tick 576 (day 28 hr 0): 3162
Tick 588 (day 28 hr 12): 3162
Tick 600 (day 29 hr 0): 3162
