Started sim OpenDominion\Sim\Icekin\Convert\Base\Sim at 2021-03-02 13:39:07
Tick 0 (day 4 hr 0): 804
Tick 12 (day 4 hr 12): 804
Tick 24 (day 5 hr 0): 854
Tick 36 (day 5 hr 12): 986
Tick 48 (day 6 hr 0): 1068
Tick 60 (day 6 hr 12): 1176
Tick 72 (day 7 hr 0): 1240
Tick 84 (day 7 hr 12): 1339
Tick 96 (day 8 hr 0): 1407
Tick 108 (day 8 hr 12): 1421
Tick 120 (day 9 hr 0): 1441
Tick 132 (day 9 hr 12): 1526
Tick 144 (day 10 hr 0): 1625
Tick 156 (day 10 hr 12): 1728
Tick 168 (day 11 hr 0): 1748
Tick 180 (day 11 hr 12): 1771
Tick 192 (day 12 hr 0): 1823
Tick 204 (day 12 hr 12): 1931
Tick 216 (day 13 hr 0): 1951
Tick 228 (day 13 hr 12): 2057
Tick 240 (day 14 hr 0): 2077
Tick 252 (day 14 hr 12): 2126
Tick 264 (day 15 hr 0): 2228
Tick 276 (day 15 hr 12): 2320
Tick 288 (day 16 hr 0): 2340
Tick 300 (day 16 hr 12): 2381
Tick 312 (day 17 hr 0): 2450
Tick 324 (day 17 hr 12): 2544
Tick 336 (day 18 hr 0): 2643
Tick 348 (day 18 hr 12): 2729
Tick 360 (day 19 hr 0): 2749
Tick 372 (day 19 hr 12): 2849
Tick 384 (day 20 hr 0): 2945
Tick 396 (day 20 hr 12): 3030
Tick 408 (day 21 hr 0): 3050
Tick 420 (day 21 hr 12): 3050
Tick 432 (day 22 hr 0): 3070
Tick 444 (day 22 hr 12): 3070
Tick 456 (day 23 hr 0): 3090
Tick 468 (day 23 hr 12): 3090
Tick 480 (day 24 hr 0): 3110
Tick 492 (day 24 hr 12): 3110
Tick 504 (day 25 hr 0): 3130
Tick 516 (day 25 hr 12): 3130
Tick 528 (day 26 hr 0): 3150
Tick 540 (day 26 hr 12): 3150
Tick 552 (day 27 hr 0): 3170
Tick 564 (day 27 hr 12): 3170
Tick 576 (day 28 hr 0): 3190
Tick 588 (day 28 hr 12): 3190
Tick 600 (day 29 hr 0): 3190
