Started sim OpenDominion\Sim\Icekin\Convert\WizTech\Sim at 2021-05-06 15:15:36
Tick 0 (day 4 hr 0): 805			 op: 0;	dp: 6932;	u1: 0;	u2: 876 (0);	u3: 675 (0);	u4: 0 (0);	peas: 10426
Tick 12 (day 4 hr 12): 805			 op: 0;	dp: 10206;	u1: 0;	u2: 876 (182);	u3: 1229 (410);	u4: 0 (0);	peas: 10551
Tick 24 (day 5 hr 0): 898			 op: 0;	dp: 13870;	u1: 0;	u2: 1058 (0);	u3: 1639 (0);	u4: 0 (0);	peas: 11748
Tick 36 (day 5 hr 12): 1018			 op: 0;	dp: 15465;	u1: 0;	u2: 1409 (1289);	u3: 1639 (0);	u4: 0 (0);	peas: 13430
Tick 48 (day 6 hr 0): 1043			 op: 0;	dp: 20667;	u1: 0;	u2: 2750 (0);	u3: 1639 (0);	u4: 0 (0);	peas: 14507
Tick 60 (day 6 hr 12): 1171			 op: 0;	dp: 22932;	u1: 0;	u2: 3270 (1299);	u3: 1639 (0);	u4: 0 (0);	peas: 15793
Tick 72 (day 7 hr 0): 1191			 op: 0;	dp: 28924;	u1: 0;	u2: 4840 (0);	u3: 1639 (0);	u4: 0 (0);	peas: 16336
Tick 84 (day 7 hr 12): 1306			 op: 0;	dp: 29932;	u1: 0;	u2: 5483 (1037);	u3: 1639 (150);	u4: 0 (0);	peas: 19089
Tick 96 (day 8 hr 0): 1326			 op: 0;	dp: 34663;	u1: 0;	u2: 6520 (0);	u3: 1868 (0);	u4: 0 (0);	peas: 19855
Tick 108 (day 8 hr 12): 1449			 op: 0;	dp: 35829;	u1: 0;	u2: 6520 (0);	u3: 1952 (822);	u4: 0 (0);	peas: 21550
Tick 120 (day 9 hr 0): 1477			 op: 0;	dp: 41093;	u1: 0;	u2: 6520 (0);	u3: 2774 (0);	u4: 0 (0);	peas: 22598
Tick 132 (day 9 hr 12): 1599			 op: 0;	dp: 42000;	u1: 0;	u2: 6520 (0);	u3: 2827 (908);	u4: 0 (0);	peas: 24228
