Started sim OpenDominion\Sim\Merfolk\AlchDm\Sim at 2021-07-06 12:20:49
Tick 0 (day 4 hr 0): 805			 op: 0;	dp: 6807;	u1: 0;	u2: 1250 (0);	u3: 275 (0);	u4: 0 (0);	peas: 9752
Tick 12 (day 4 hr 12): 805			 op: 0;	dp: 13093;	u1: 0;	u2: 1250 (151);	u3: 742 (217);	u4: 0 (0);	peas: 10099
Tick 24 (day 5 hr 0): 895			 op: 0;	dp: 12983;	u1: 0;	u2: 1401 (0);	u3: 959 (0);	u4: 0 (0);	peas: 11233
Tick 36 (day 5 hr 12): 1018			 op: 0;	dp: 19485;	u1: 0;	u2: 1970 (1303);	u3: 959 (0);	u4: 0 (0);	peas: 13000
Tick 48 (day 6 hr 0): 1045			 op: 0;	dp: 19639;	u1: 0;	u2: 3326 (0);	u3: 959 (0);	u4: 0 (0);	peas: 14508
Tick 60 (day 6 hr 12): 1176			 op: 0;	dp: 26661;	u1: 0;	u2: 3989 (1382);	u3: 959 (0);	u4: 0 (0);	peas: 15656
Tick 72 (day 7 hr 0): 1197			 op: 0;	dp: 27312;	u1: 0;	u2: 5565 (0);	u3: 959 (0);	u4: 0 (0);	peas: 15788
Tick 84 (day 7 hr 12): 1319			 op: 0;	dp: 31419;	u1: 0;	u2: 5565 (0);	u3: 988 (494);	u4: 0 (0);	peas: 19805
Tick 96 (day 8 hr 0): 1339			 op: 0;	dp: 34996;	u1: 0;	u2: 5565 (0);	u3: 1544 (382);	u4: 0 (0);	peas: 20738
Tick 108 (day 8 hr 12): 1401			 op: 0;	dp: 40531;	u1: 0;	u2: 5565 (0);	u3: 1985 (634);	u4: 0 (0);	peas: 22163
Tick 120 (day 9 hr 0): 1421			 op: 0;	dp: 41571;	u1: 0;	u2: 5565 (0);	u3: 2685 (66);	u4: 0 (0);	peas: 22482
Tick 132 (day 9 hr 12): 1536			 op: 0;	dp: 46340;	u1: 0;	u2: 5565 (0);	u3: 2796 (565);	u4: 0 (0);	peas: 24839
Tick 144 (day 10 hr 0): 1556			 op: 0;	dp: 49253;	u1: 0;	u2: 5565 (0);	u3: 3429 (297);	u4: 0 (0);	peas: 24927
Tick 156 (day 10 hr 12): 1635			 op: 0;	dp: 54889;	u1: 0;	u2: 5565 (0);	u3: 3773 (667);	u4: 0 (0);	peas: 26637
Tick 168 (day 11 hr 0): 1655			 op: 0;	dp: 60181;	u1: 0;	u2: 5565 (0);	u3: 4513 (589);	u4: 0 (0);	peas: 26198
Tick 180 (day 11 hr 12): 1696			 op: 0;	dp: 66853;	u1: 0;	u2: 5565 (0);	u3: 5152 (788);	u4: 0 (0);	peas: 26875
Tick 192 (day 12 hr 0): 1716			 op: 0;	dp: 68985;	u1: 0;	u2: 5565 (0);	u3: 6019 (191);	u4: 0 (0);	peas: 26640
Tick 204 (day 12 hr 12): 1815			 op: 0;	dp: 74929;	u1: 0;	u2: 5565 (0);	u3: 6254 (717);	u4: 0 (0);	peas: 28446
Tick 216 (day 13 hr 0): 1835			 op: 0;	dp: 78867;	u1: 0;	u2: 5565 (0);	u3: 7054 (413);	u4: 0 (0);	peas: 27984
Tick 228 (day 13 hr 12): 1907			 op: 0;	dp: 85664;	u1: 0;	u2: 5565 (0);	u3: 7516 (815);	u4: 0 (0);	peas: 29174
Tick 240 (day 14 hr 0): 1927			 op: 0;	dp: 93121;	u1: 0;	u2: 5565 (0);	u3: 8421 (848);	u4: 0 (0);	peas: 28373
Tick 252 (day 14 hr 12): 1953			 op: 0;	dp: 98655;	u1: 0;	u2: 5565 (0);	u3: 9316 (651);	u4: 0 (0);	peas: 28830
Tick 264 (day 15 hr 0): 2013			 op: 0;	dp: 100160;	u1: 0;	u2: 5565 (0);	u3: 9967 (0);	u4: 0 (0);	peas: 29862
Tick 276 (day 15 hr 12): 2124			 op: 0;	dp: 106929;	u1: 0;	u2: 5565 (0);	u3: 9995 (792);	u4: 0 (0);	peas: 32453
Tick 288 (day 16 hr 0): 2144			 op: 0;	dp: 111394;	u1: 0;	u2: 5565 (0);	u3: 10883 (186);	u4: 0 (0);	peas: 32209
Tick 300 (day 16 hr 12): 2241			 op: 0;	dp: 119818;	u1: 0;	u2: 5565 (0);	u3: 11127 (878);	u4: 0 (0);	peas: 33817
Tick 312 (day 17 hr 0): 2264			 op: 0;	dp: 122311;	u1: 0;	u2: 5565 (0);	u3: 12065 (0);	u4: 0 (0);	peas: 33825
Tick 324 (day 17 hr 12): 2380			 op: 0;	dp: 125399;	u1: 0;	u2: 5565 (0);	u3: 12112 (335);	u4: 0 (0);	peas: 36346
Tick 336 (day 18 hr 0): 2458			 op: 0;	dp: 126582;	u1: 0;	u2: 5565 (0);	u3: 12447 (0);	u4: 0 (0);	peas: 37351
Tick 348 (day 18 hr 12): 2563			 op: 0;	dp: 130965;	u1: 0;	u2: 5565 (0);	u3: 12494 (464);	u4: 0 (0);	peas: 39606
Tick 360 (day 19 hr 0): 2638			 op: 0;	dp: 131856;	u1: 0;	u2: 5565 (0);	u3: 12958 (0);	u4: 0 (0);	peas: 40572
Tick 372 (day 19 hr 12): 2747			 op: 0;	dp: 141705;	u1: 0;	u2: 5565 (0);	u3: 13011 (1097);	u4: 0 (0);	peas: 42265
Tick 384 (day 20 hr 0): 2781			 op: 0;	dp: 143159;	u1: 0;	u2: 5565 (0);	u3: 14108 (0);	u4: 0 (0);	peas: 42497
Tick 396 (day 20 hr 12): 2901			 op: 0;	dp: 152261;	u1: 0;	u2: 5565 (0);	u3: 14163 (1029);	u4: 0 (0);	peas: 44431
Tick 408 (day 21 hr 0): 2944			 op: 0;	dp: 153590;	u1: 0;	u2: 5565 (0);	u3: 15192 (0);	u4: 0 (0);	peas: 44825
Tick 420 (day 21 hr 12): 3062			 op: 0;	dp: 163245;	u1: 0;	u2: 5565 (0);	u3: 15251 (1085);	u4: 0 (0);	peas: 46667
Tick 432 (day 22 hr 0): 3107			 op: 0;	dp: 164359;	u1: 0;	u2: 5565 (0);	u3: 16336 (0);	u4: 0 (0);	peas: 47191
Tick 444 (day 22 hr 12): 3224			 op: 0;	dp: 177087;	u1: 0;	u2: 5565 (0);	u3: 16402 (1424);	u4: 0 (0);	peas: 48924
Tick 456 (day 23 hr 0): 3244			 op: 0;	dp: 185711;	u1: 0;	u2: 5565 (0);	u3: 17994 (655);	u4: 0 (0);	peas: 48463
Tick 468 (day 23 hr 12): 3324			 op: 0;	dp: 201053;	u1: 0;	u2: 5565 (0);	u3: 18755 (1574);	u4: 0 (0);	peas: 48909
Tick 480 (day 24 hr 0): 3354			 op: 0;	dp: 202214;	u1: 0;	u2: 5565 (0);	u3: 20329 (0);	u4: 0 (0);	peas: 50334
Tick 492 (day 24 hr 12): 3471			 op: 0;	dp: 206269;	u1: 0;	u2: 5565 (0);	u3: 20400 (421);	u4: 0 (0);	peas: 52826
Tick 504 (day 25 hr 0): 3560			 op: 0;	dp: 206642;	u1: 0;	u2: 5565 (0);	u3: 20821 (0);	u4: 0 (0);	peas: 54783
Tick 516 (day 25 hr 12): 3662			 op: 0;	dp: 211654;	u1: 0;	u2: 5565 (0);	u3: 20905 (505);	u4: 0 (0);	peas: 56844
Tick 528 (day 26 hr 0): 3750			 op: 0;	dp: 211654;	u1: 0;	u2: 5565 (0);	u3: 21410 (0);	u4: 0 (0);	peas: 58308
Tick 540 (day 26 hr 12): 3854			 op: 0;	dp: 217079;	u1: 0;	u2: 5565 (0);	u3: 21495 (521);	u4: 0 (0);	peas: 60252
Tick 552 (day 27 hr 0): 3943			 op: 0;	dp: 216942;	u1: 0;	u2: 5565 (0);	u3: 22016 (0);	u4: 0 (0);	peas: 61816
Tick 564 (day 27 hr 12): 4048			 op: 0;	dp: 222570;	u1: 0;	u2: 5565 (0);	u3: 22114 (533);	u4: 0 (0);	peas: 63710
Tick 576 (day 28 hr 0): 4139			 op: 0;	dp: 222429;	u1: 0;	u2: 5565 (0);	u3: 22647 (0);	u4: 0 (0);	peas: 65323
Tick 588 (day 28 hr 12): 4244			 op: 0;	dp: 238882;	u1: 0;	u2: 5565 (0);	u3: 22752 (1755);	u4: 0 (0);	peas: 65994
Tick 600 (day 29 hr 0): 4286			 op: 0;	dp: 238769;	u1: 0;	u2: 5565 (0);	u3: 24507 (0);	u4: 0 (0);	peas: 66967
