Started sim OpenDominion\Sim\Merfolk\Converter\DmRr\Sim at 2021-07-08 20:30:47
Tick 0 (day 4 hr 0): 805			 op: 0;	dp: 6807;	u1: 0;	u2: 1250 (0);	u3: 275 (0);	u4: 0 (0);	peas: 9752
Tick 12 (day 4 hr 12): 805			 op: 0;	dp: 13093;	u1: 0;	u2: 1250 (151);	u3: 742 (217);	u4: 0 (0);	peas: 10099
Tick 24 (day 5 hr 0): 895			 op: 0;	dp: 12983;	u1: 0;	u2: 1401 (0);	u3: 959 (0);	u4: 0 (0);	peas: 11233
Tick 36 (day 5 hr 12): 1018			 op: 0;	dp: 19470;	u1: 0;	u2: 1970 (1299);	u3: 959 (0);	u4: 0 (0);	peas: 12620
Tick 48 (day 6 hr 0): 1045			 op: 0;	dp: 19639;	u1: 0;	u2: 3326 (0);	u3: 959 (0);	u4: 0 (0);	peas: 12787
Tick 60 (day 6 hr 12): 1167			 op: 0;	dp: 22834;	u1: 0;	u2: 3326 (0);	u3: 976 (390);	u4: 0 (0);	peas: 14089
Tick 72 (day 7 hr 0): 1187			 op: 0;	dp: 27232;	u1: 0;	u2: 3326 (0);	u3: 1415 (492);	u4: 0 (0);	peas: 13310
Tick 84 (day 7 hr 12): 1205			 op: 0;	dp: 32238;	u1: 0;	u2: 3326 (0);	u3: 1927 (596);	u4: 0 (0);	peas: 17303
Tick 96 (day 8 hr 0): 1225			 op: 0;	dp: 34973;	u1: 0;	u2: 3326 (0);	u3: 2580 (282);	u4: 0 (0);	peas: 17506
Tick 108 (day 8 hr 12): 1298			 op: 0;	dp: 39741;	u1: 0;	u2: 3326 (0);	u3: 2911 (551);	u4: 0 (0);	peas: 19102
Tick 120 (day 9 hr 0): 1318			 op: 0;	dp: 41546;	u1: 0;	u2: 3326 (0);	u3: 3523 (165);	u4: 0 (0);	peas: 19306
Tick 132 (day 9 hr 12): 1413			 op: 0;	dp: 46706;	u1: 0;	u2: 3326 (0);	u3: 3742 (555);	u4: 0 (0);	peas: 21243
Tick 144 (day 10 hr 0): 1433			 op: 0;	dp: 49892;	u1: 0;	u2: 3326 (0);	u3: 4362 (199);	u4: 0 (0);	peas: 21031
Tick 156 (day 10 hr 12): 1525			 op: 0;	dp: 55548;	u1: 0;	u2: 3326 (0);	u3: 4600 (583);	u4: 0 (0);	peas: 22845
Tick 168 (day 11 hr 0): 1545			 op: 0;	dp: 60521;	u1: 0;	u2: 3326 (0);	u3: 5251 (393);	u4: 0 (0);	peas: 22420
Tick 180 (day 11 hr 12): 1607			 op: 0;	dp: 67177;	u1: 0;	u2: 3326 (0);	u3: 5686 (646);	u4: 0 (0);	peas: 23623
Tick 192 (day 12 hr 0): 1627			 op: 0;	dp: 69465;	u1: 0;	u2: 3326 (0);	u3: 6402 (71);	u4: 0 (0);	peas: 23519
Tick 204 (day 12 hr 12): 1733			 op: 0;	dp: 75230;	u1: 0;	u2: 3326 (0);	u3: 6506 (594);	u4: 0 (0);	peas: 25610
Tick 216 (day 13 hr 0): 1753			 op: 0;	dp: 79036;	u1: 0;	u2: 3326 (0);	u3: 7173 (226);	u4: 0 (0);	peas: 25350
Tick 228 (day 13 hr 12): 1837			 op: 0;	dp: 85645;	u1: 0;	u2: 3326 (0);	u3: 7433 (657);	u4: 0 (0);	peas: 26938
Tick 240 (day 14 hr 0): 1857			 op: 0;	dp: 92011;	u1: 0;	u2: 3326 (0);	u3: 8167 (571);	u4: 0 (0);	peas: 26330
Tick 252 (day 14 hr 12): 1899			 op: 0;	dp: 97556;	u1: 0;	u2: 3326 (0);	u3: 8775 (578);	u4: 0 (0);	peas: 27158
Tick 264 (day 15 hr 0): 1950			 op: 0;	dp: 97374;	u1: 0;	u2: 3326 (0);	u3: 9353 (0);	u4: 0 (0);	peas: 27719
Tick 276 (day 15 hr 12): 2055			 op: 0;	dp: 103868;	u1: 0;	u2: 3326 (0);	u3: 9372 (714);	u4: 0 (0);	peas: 29775
Tick 288 (day 16 hr 0): 2075			 op: 0;	dp: 108440;	u1: 0;	u2: 3326 (0);	u3: 10174 (416);	u4: 0 (0);	peas: 29316
Tick 300 (day 16 hr 12): 2142			 op: 0;	dp: 116238;	u1: 0;	u2: 3326 (0);	u3: 10633 (836);	u4: 0 (0);	peas: 30408
Tick 312 (day 17 hr 0): 2162			 op: 0;	dp: 119295;	u1: 0;	u2: 3326 (0);	u3: 11561 (243);	u4: 0 (0);	peas: 30114
Tick 324 (day 17 hr 12): 2246			 op: 0;	dp: 124754;	u1: 0;	u2: 3326 (0);	u3: 11855 (578);	u4: 0 (0);	peas: 31780
Tick 336 (day 18 hr 0): 2298			 op: 0;	dp: 124754;	u1: 0;	u2: 3326 (0);	u3: 12433 (0);	u4: 0 (0);	peas: 32871
Tick 348 (day 18 hr 12): 2401			 op: 0;	dp: 130266;	u1: 0;	u2: 3326 (0);	u3: 12458 (602);	u4: 0 (0);	peas: 35059
Tick 360 (day 19 hr 0): 2451			 op: 0;	dp: 130144;	u1: 0;	u2: 3326 (0);	u3: 13060 (0);	u4: 0 (0);	peas: 35729
Tick 372 (day 19 hr 12): 2554			 op: 0;	dp: 138950;	u1: 0;	u2: 3326 (0);	u3: 13096 (955);	u4: 0 (0);	peas: 37445
Tick 384 (day 20 hr 0): 2574			 op: 0;	dp: 140888;	u1: 0;	u2: 3326 (0);	u3: 14168 (111);	u4: 0 (0);	peas: 37314
Tick 396 (day 20 hr 12): 2670			 op: 0;	dp: 151265;	u1: 0;	u2: 3326 (0);	u3: 14352 (1089);	u4: 0 (0);	peas: 38642
Tick 408 (day 21 hr 0): 2694			 op: 0;	dp: 151724;	u1: 0;	u2: 3326 (0);	u3: 15508 (0);	u4: 0 (0);	peas: 38728
Tick 420 (day 21 hr 12): 2796			 op: 0;	dp: 162605;	u1: 0;	u2: 3326 (0);	u3: 15562 (1169);	u4: 0 (0);	peas: 40178
Tick 432 (day 22 hr 0): 2824			 op: 0;	dp: 162605;	u1: 0;	u2: 3326 (0);	u3: 16731 (0);	u4: 0 (0);	peas: 40324
Tick 444 (day 22 hr 12): 2924			 op: 0;	dp: 174285;	u1: 0;	u2: 3326 (0);	u3: 16766 (1295);	u4: 0 (0);	peas: 41648
Tick 456 (day 23 hr 0): 2944			 op: 0;	dp: 184503;	u1: 0;	u2: 3326 (0);	u3: 18218 (979);	u4: 0 (0);	peas: 40931
Tick 468 (day 23 hr 12): 2991			 op: 0;	dp: 195322;	u1: 0;	u2: 3326 (0);	u3: 19276 (1144);	u4: 0 (0);	peas: 41706
Tick 480 (day 24 hr 0): 3023			 op: 0;	dp: 197108;	u1: 0;	u2: 3326 (0);	u3: 20420 (3);	u4: 0 (0);	peas: 42384
Tick 492 (day 24 hr 12): 3023			 op: 0;	dp: 202537;	u1: 0;	u2: 3326 (0);	u3: 20426 (222);	u4: 0 (0);	peas: 48572
Tick 504 (day 25 hr 0): 3043			 op: 17436;	dp: 210944;	u1: 0;	u2: 3326 (0);	u3: 20648 (345);	u4: 0 (3490);	peas: 50709
Tick 516 (day 25 hr 12): 3043			 op: 43900;	dp: 210944;	u1: 0;	u2: 3326 (0);	u3: 20993 (0);	u4: 3996 (4791);	peas: 46502
Tick 528 (day 26 hr 0): 3063			 op: 68214;	dp: 210850;	u1: 0;	u2: 3326 (0);	u3: 20993 (0);	u4: 9206 (4462);	peas: 42051
Tick 540 (day 26 hr 12): 3063			 op: 84907;	dp: 216089;	u1: 0;	u2: 3326 (0);	u3: 21235 (315);	u4: 13668 (3327);	peas: 39035
Tick 552 (day 27 hr 0): 3083			 op: 105160;	dp: 215992;	u1: 0;	u2: 3326 (0);	u3: 21550 (0);	u4: 17344 (3725);	peas: 35339
Tick 564 (day 27 hr 12): 3083			 op: 117746;	dp: 221492;	u1: 0;	u2: 3326 (0);	u3: 21736 (399);	u4: 21069 (2499);	peas: 33073
Tick 576 (day 28 hr 0): 3103			 op: 134822;	dp: 221409;	u1: 0;	u2: 3326 (0);	u3: 22135 (0);	u4: 23862 (3150);	peas: 29965
Tick 588 (day 28 hr 12): 3103			 op: 134822;	dp: 234895;	u1: 0;	u2: 3326 (0);	u3: 22275 (1295);	u4: 27012 (0);	peas: 29484
