Started sim OpenDominion\Sim\Merfolk\LowSchools2\Sim at 2021-02-26 21:08:24
Tick 0 (day 4 hr 0): 805
Tick 12 (day 4 hr 12): 805
Tick 24 (day 5 hr 0): 867
Tick 36 (day 5 hr 12): 989
Tick 48 (day 6 hr 0): 1056
Tick 60 (day 6 hr 12): 1148
Tick 72 (day 7 hr 0): 1208
Tick 84 (day 7 hr 12): 1287
Tick 96 (day 8 hr 0): 1343
Tick 108 (day 8 hr 12): 1343
Tick 120 (day 9 hr 0): 1363
Tick 132 (day 9 hr 12): 1369
Tick 144 (day 10 hr 0): 1389
Tick 156 (day 10 hr 12): 1476
Tick 168 (day 11 hr 0): 1496
Tick 180 (day 11 hr 12): 1508
Tick 192 (day 12 hr 0): 1528
Tick 204 (day 12 hr 12): 1611
Tick 216 (day 13 hr 0): 1631
Tick 228 (day 13 hr 12): 1681
Tick 240 (day 14 hr 0): 1701
Tick 252 (day 14 hr 12): 1701
Tick 264 (day 15 hr 0): 1735
Tick 276 (day 15 hr 12): 1838
Tick 288 (day 16 hr 0): 1858
Tick 300 (day 16 hr 12): 1881
Tick 312 (day 17 hr 0): 1901
Tick 324 (day 17 hr 12): 1962
Tick 336 (day 18 hr 0): 2052
Tick 348 (day 18 hr 12): 2142
Tick 360 (day 19 hr 0): 2162
Tick 372 (day 19 hr 12): 2230
Tick 384 (day 20 hr 0): 2250
Tick 396 (day 20 hr 12): 2319
Tick 408 (day 21 hr 0): 2339
Tick 420 (day 21 hr 12): 2418
Tick 432 (day 22 hr 0): 2497
Tick 444 (day 22 hr 12): 2590
Tick 456 (day 23 hr 0): 2610
Tick 468 (day 23 hr 12): 2610
Tick 480 (day 24 hr 0): 2630
Tick 492 (day 24 hr 12): 2711
Tick 504 (day 25 hr 0): 2816
Tick 516 (day 25 hr 12): 2908
Tick 528 (day 26 hr 0): 3017
Tick 540 (day 26 hr 12): 3109
Tick 552 (day 27 hr 0): 3131
Tick 564 (day 27 hr 12): 3249
Tick 576 (day 28 hr 0): 3357
Tick 588 (day 28 hr 12): 3454
Tick 600 (day 29 hr 0): 3474
Tick 612 (day 29 hr 12): 3547
Tick 624 (day 30 hr 0): 3567
Tick 636 (day 30 hr 12): 3605
Tick 648 (day 31 hr 0): 3732
Tick 660 (day 31 hr 12): 3832
Tick 672 (day 32 hr 0): 3946
Tick 684 (day 32 hr 12): 4043
Tick 696 (day 33 hr 0): 4063
Tick 708 (day 33 hr 12): 4135
Tick 720 (day 34 hr 0): 4155
Tick 732 (day 34 hr 12): 4243
Tick 744 (day 35 hr 0): 4263
Tick 756 (day 35 hr 12): 4317
Tick 768 (day 36 hr 0): 4423
Tick 780 (day 36 hr 12): 4522
Tick 792 (day 37 hr 0): 4547
Tick 804 (day 37 hr 12): 4666
Tick 816 (day 38 hr 0): 4778
Tick 828 (day 38 hr 12): 4875
Tick 840 (day 39 hr 0): 4935
Tick 852 (day 39 hr 12): 5047
Tick 864 (day 40 hr 0): 5159
Tick 876 (day 40 hr 12): 5259
Tick 888 (day 41 hr 0): 5371
Tick 900 (day 41 hr 12): 5470
Tick 912 (day 42 hr 0): 5581
Tick 924 (day 42 hr 12): 5679
Tick 936 (day 43 hr 0): 5789
Tick 948 (day 43 hr 12): 5886
Tick 960 (day 44 hr 0): 5996
Tick 972 (day 44 hr 12): 6091
Tick 984 (day 45 hr 0): 6200
Tick 996 (day 45 hr 12): 6295
Tick 1008 (day 46 hr 0): 6402
Tick 1020 (day 46 hr 12): 6496
Tick 1032 (day 47 hr 0): 6603
Tick 1044 (day 47 hr 12): 6697
Tick 1056 (day 48 hr 0): 6805
Tick 1068 (day 48 hr 12): 6899
Tick 1080 (day 49 hr 0): 7007
Tick 1092 (day 49 hr 12): 7098
Tick 1104 (day 50 hr 0): 7098
