Started sim OpenDominion\Sim\Merfolk\LowSchoolsRr\Sim at 2021-07-06 13:09:19
Tick 0 (day 4 hr 0): 805			 op: 0;	dp: 6807;	u1: 0;	u2: 1250 (0);	u3: 275 (0);	u4: 0 (0);	peas: 9752
Tick 12 (day 4 hr 12): 805			 op: 0;	dp: 13093;	u1: 0;	u2: 1250 (158);	u3: 742 (214);	u4: 0 (0);	peas: 9502
Tick 24 (day 5 hr 0): 892			 op: 0;	dp: 12987;	u1: 0;	u2: 1408 (0);	u3: 956 (0);	u4: 0 (0);	peas: 10276
Tick 36 (day 5 hr 12): 1008			 op: 0;	dp: 19031;	u1: 0;	u2: 1934 (1214);	u3: 956 (0);	u4: 0 (0);	peas: 11337
Tick 48 (day 6 hr 0): 1029			 op: 0;	dp: 19643;	u1: 0;	u2: 3329 (0);	u3: 956 (0);	u4: 0 (0);	peas: 11167
Tick 60 (day 6 hr 12): 1141			 op: 0;	dp: 26238;	u1: 0;	u2: 3947 (1297);	u3: 956 (0);	u4: 0 (0);	peas: 12135
Tick 72 (day 7 hr 0): 1161			 op: 0;	dp: 27309;	u1: 0;	u2: 5557 (0);	u3: 956 (0);	u4: 0 (0);	peas: 11908
Tick 84 (day 7 hr 12): 1261			 op: 0;	dp: 31147;	u1: 0;	u2: 5557 (0);	u3: 980 (463);	u4: 0 (0);	peas: 14475
Tick 96 (day 8 hr 0): 1281			 op: 0;	dp: 34988;	u1: 0;	u2: 5557 (0);	u3: 1501 (417);	u4: 0 (0);	peas: 14482
Tick 108 (day 8 hr 12): 1324			 op: 0;	dp: 40148;	u1: 0;	u2: 5557 (0);	u3: 1958 (603);	u4: 0 (0);	peas: 15438
Tick 120 (day 9 hr 0): 1344			 op: 0;	dp: 41553;	u1: 0;	u2: 5557 (0);	u3: 2623 (115);	u4: 0 (0);	peas: 15764
Tick 132 (day 9 hr 12): 1433			 op: 0;	dp: 46380;	u1: 0;	u2: 5557 (0);	u3: 2779 (572);	u4: 0 (0);	peas: 17494
