Started sim OpenDominion\Sim\Merfolk\Masons\Sim at 2021-07-06 20:51:08
Tick 0 (day 4 hr 0): 805			 op: 0;	dp: 6477;	u1: 0;	u2: 1250 (0);	u3: 275 (0);	u4: 0 (0);	peas: 9752
Tick 12 (day 4 hr 12): 805			 op: 0;	dp: 11942;	u1: 0;	u2: 1250 (151);	u3: 742 (217);	u4: 0 (0);	peas: 10099
Tick 24 (day 5 hr 0): 895			 op: 0;	dp: 11843;	u1: 0;	u2: 1401 (0);	u3: 959 (0);	u4: 0 (0);	peas: 11233
Tick 36 (day 5 hr 12): 1018			 op: 0;	dp: 18340;	u1: 0;	u2: 1970 (1299);	u3: 959 (0);	u4: 0 (0);	peas: 12620
Tick 48 (day 6 hr 0): 1045			 op: 0;	dp: 18510;	u1: 0;	u2: 3326 (0);	u3: 959 (0);	u4: 0 (0);	peas: 12787
Tick 60 (day 6 hr 12): 1167			 op: 0;	dp: 24804;	u1: 0;	u2: 3894 (1263);	u3: 959 (0);	u4: 0 (0);	peas: 14089
Tick 72 (day 7 hr 0): 1187			 op: 0;	dp: 26196;	u1: 0;	u2: 5562 (0);	u3: 959 (0);	u4: 0 (0);	peas: 14036
Tick 84 (day 7 hr 12): 1290			 op: 0;	dp: 29471;	u1: 0;	u2: 5562 (0);	u3: 986 (460);	u4: 0 (0);	peas: 17528
Tick 96 (day 8 hr 0): 1310			 op: 0;	dp: 32666;	u1: 0;	u2: 5562 (0);	u3: 1502 (406);	u4: 0 (0);	peas: 17655
Tick 108 (day 8 hr 12): 1356			 op: 0;	dp: 36967;	u1: 0;	u2: 5562 (0);	u3: 1958 (577);	u4: 0 (0);	peas: 18864
Tick 120 (day 9 hr 0): 1376			 op: 0;	dp: 38384;	u1: 0;	u2: 5562 (0);	u3: 2594 (149);	u4: 0 (0);	peas: 19131
Tick 132 (day 9 hr 12): 1469			 op: 0;	dp: 42324;	u1: 0;	u2: 5562 (0);	u3: 2785 (544);	u4: 0 (0);	peas: 20999
Tick 144 (day 10 hr 0): 1489			 op: 0;	dp: 44953;	u1: 0;	u2: 5562 (0);	u3: 3394 (319);	u4: 0 (0);	peas: 20693
Tick 156 (day 10 hr 12): 1558			 op: 0;	dp: 49605;	u1: 0;	u2: 5562 (0);	u3: 3768 (632);	u4: 0 (0);	peas: 22022
Tick 168 (day 11 hr 0): 1578			 op: 0;	dp: 54343;	u1: 0;	u2: 5562 (0);	u3: 4470 (620);	u4: 0 (0);	peas: 21354
Tick 180 (day 11 hr 12): 1609			 op: 0;	dp: 59649;	u1: 0;	u2: 5562 (0);	u3: 5138 (728);	u4: 0 (0);	peas: 21873
Tick 192 (day 12 hr 0): 1629			 op: 0;	dp: 61851;	u1: 0;	u2: 5562 (0);	u3: 5937 (253);	u4: 0 (0);	peas: 21572
Tick 204 (day 12 hr 12): 1711			 op: 0;	dp: 66606;	u1: 0;	u2: 5562 (0);	u3: 6238 (661);	u4: 0 (0);	peas: 23144
Tick 216 (day 13 hr 0): 1731			 op: 0;	dp: 71426;	u1: 0;	u2: 5562 (0);	u3: 6975 (365);	u4: 0 (0);	peas: 22733
Tick 228 (day 13 hr 12): 1799			 op: 0;	dp: 77724;	u1: 0;	u2: 5562 (0);	u3: 7386 (705);	u4: 0 (0);	peas: 23953
Tick 240 (day 14 hr 0): 1819			 op: 0;	dp: 83195;	u1: 0;	u2: 5562 (0);	u3: 8169 (451);	u4: 0 (0);	peas: 23462
Tick 252 (day 14 hr 12): 1876			 op: 0;	dp: 87306;	u1: 0;	u2: 5562 (0);	u3: 8660 (390);	u4: 0 (0);	peas: 24774
Tick 264 (day 15 hr 0): 1944			 op: 0;	dp: 88136;	u1: 0;	u2: 5562 (0);	u3: 9050 (0);	u4: 0 (0);	peas: 25667
Tick 276 (day 15 hr 12): 2044			 op: 0;	dp: 93732;	u1: 0;	u2: 5562 (0);	u3: 9072 (714);	u4: 0 (0);	peas: 27635
Tick 288 (day 16 hr 0): 2064			 op: 0;	dp: 98025;	u1: 0;	u2: 5562 (0);	u3: 9872 (192);	u4: 0 (0);	peas: 28026
Tick 300 (day 16 hr 12): 2152			 op: 0;	dp: 105017;	u1: 0;	u2: 5562 (0);	u3: 10091 (785);	u4: 0 (0);	peas: 29341
Tick 312 (day 17 hr 0): 2174			 op: 0;	dp: 107922;	u1: 0;	u2: 5562 (0);	u3: 10937 (0);	u4: 0 (0);	peas: 30065
Tick 324 (day 17 hr 12): 2282			 op: 0;	dp: 110211;	u1: 0;	u2: 5562 (0);	u3: 10967 (247);	u4: 0 (0);	peas: 32343
Tick 336 (day 18 hr 0): 2361			 op: 0;	dp: 111487;	u1: 0;	u2: 5562 (0);	u3: 11214 (0);	u4: 0 (0);	peas: 34601
Tick 348 (day 18 hr 12): 2460			 op: 0;	dp: 115129;	u1: 0;	u2: 5562 (0);	u3: 11234 (342);	u4: 0 (0);	peas: 37110
Tick 360 (day 19 hr 0): 2540			 op: 0;	dp: 115913;	u1: 0;	u2: 5562 (0);	u3: 11576 (0);	u4: 0 (0);	peas: 39530
Tick 372 (day 19 hr 12): 2644			 op: 0;	dp: 124038;	u1: 0;	u2: 5562 (0);	u3: 11593 (902);	u4: 0 (0);	peas: 41623
Tick 384 (day 20 hr 0): 2686			 op: 0;	dp: 124991;	u1: 0;	u2: 5562 (0);	u3: 12495 (0);	u4: 0 (0);	peas: 43576
Tick 396 (day 20 hr 12): 2802			 op: 0;	dp: 133292;	u1: 0;	u2: 5562 (0);	u3: 12520 (962);	u4: 0 (0);	peas: 45432
Tick 408 (day 21 hr 0): 2844			 op: 0;	dp: 134219;	u1: 0;	u2: 5562 (0);	u3: 13482 (0);	u4: 0 (0);	peas: 47497
Tick 420 (day 21 hr 12): 2961			 op: 0;	dp: 142526;	u1: 0;	u2: 5562 (0);	u3: 13522 (944);	u4: 0 (0);	peas: 49304
Tick 432 (day 22 hr 0): 3011			 op: 0;	dp: 143530;	u1: 0;	u2: 5562 (0);	u3: 14466 (0);	u4: 0 (0);	peas: 51443
Tick 444 (day 22 hr 12): 3127			 op: 0;	dp: 155543;	u1: 0;	u2: 5562 (0);	u3: 14509 (1367);	u4: 0 (0);	peas: 53006
