Started sim OpenDominion\Sim\Merfolk\MasonsSchoolsRr\Sim at 2021-07-06 22:28:36
Tick 0 (day 4 hr 0): 805			 op: 0;	dp: 6807;	u1: 0;	u2: 1250 (0);	u3: 275 (0);	u4: 0 (0);	peas: 9752
Tick 12 (day 4 hr 12): 805			 op: 0;	dp: 13093;	u1: 0;	u2: 1250 (151);	u3: 742 (217);	u4: 0 (0);	peas: 9926
Tick 24 (day 5 hr 0): 894			 op: 0;	dp: 12985;	u1: 0;	u2: 1401 (0);	u3: 959 (0);	u4: 0 (0);	peas: 10862
Tick 36 (day 5 hr 12): 1015			 op: 0;	dp: 19251;	u1: 0;	u2: 1951 (1255);	u3: 959 (0);	u4: 0 (0);	peas: 12072
Tick 48 (day 6 hr 0): 1039			 op: 0;	dp: 19638;	u1: 0;	u2: 3324 (0);	u3: 959 (0);	u4: 0 (0);	peas: 12093
Tick 60 (day 6 hr 12): 1156			 op: 0;	dp: 22749;	u1: 0;	u2: 3324 (0);	u3: 980 (375);	u4: 0 (0);	peas: 13265
Tick 72 (day 7 hr 0): 1176			 op: 0;	dp: 27313;	u1: 0;	u2: 3324 (0);	u3: 1402 (514);	u4: 0 (0);	peas: 12410
Tick 84 (day 7 hr 12): 1184			 op: 0;	dp: 32215;	u1: 0;	u2: 3324 (0);	u3: 1939 (578);	u4: 0 (0);	peas: 16128
Tick 96 (day 8 hr 0): 1204			 op: 0;	dp: 34877;	u1: 0;	u2: 3324 (0);	u3: 2571 (276);	u4: 0 (0);	peas: 16231
Tick 108 (day 8 hr 12): 1271			 op: 0;	dp: 39501;	u1: 0;	u2: 3324 (0);	u3: 2900 (528);	u4: 0 (0);	peas: 17704
Tick 120 (day 9 hr 0): 1291			 op: 0;	dp: 41545;	u1: 0;	u2: 3324 (0);	u3: 3485 (198);	u4: 0 (0);	peas: 17904
Tick 132 (day 9 hr 12): 1378			 op: 0;	dp: 46107;	u1: 0;	u2: 3324 (0);	u3: 3729 (534);	u4: 0 (0);	peas: 19738
Tick 144 (day 10 hr 0): 1398			 op: 0;	dp: 49117;	u1: 0;	u2: 3324 (0);	u3: 4325 (314);	u4: 0 (0);	peas: 19804
Tick 156 (day 10 hr 12): 1470			 op: 0;	dp: 54025;	u1: 0;	u2: 3324 (0);	u3: 4674 (587);	u4: 0 (0);	peas: 21379
Tick 168 (day 11 hr 0): 1490			 op: 0;	dp: 60186;	u1: 0;	u2: 3324 (0);	u3: 5326 (702);	u4: 0 (0);	peas: 21027
Tick 180 (day 11 hr 12): 1505			 op: 0;	dp: 66085;	u1: 0;	u2: 3324 (0);	u3: 6059 (703);	u4: 0 (0);	peas: 21282
Tick 192 (day 12 hr 0): 1525			 op: 0;	dp: 68949;	u1: 0;	u2: 3324 (0);	u3: 6828 (294);	u4: 0 (0);	peas: 20944
Tick 204 (day 12 hr 12): 1601			 op: 0;	dp: 74210;	u1: 0;	u2: 3324 (0);	u3: 7166 (628);	u4: 0 (0);	peas: 22422
Tick 216 (day 13 hr 0): 1621			 op: 0;	dp: 78781;	u1: 0;	u2: 3324 (0);	u3: 7864 (503);	u4: 0 (0);	peas: 21891
Tick 228 (day 13 hr 12): 1671			 op: 0;	dp: 84608;	u1: 0;	u2: 3324 (0);	u3: 8402 (703);	u4: 0 (0);	peas: 22766
Tick 240 (day 14 hr 0): 1691			 op: 0;	dp: 92282;	u1: 0;	u2: 3324 (0);	u3: 9177 (889);	u4: 0 (0);	peas: 21887
Tick 252 (day 14 hr 12): 1691			 op: 0;	dp: 98594;	u1: 0;	u2: 3324 (0);	u3: 10101 (751);	u4: 0 (0);	peas: 21774
Tick 264 (day 15 hr 0): 1727			 op: 0;	dp: 99471;	u1: 0;	u2: 3324 (0);	u3: 10852 (0);	u4: 0 (0);	peas: 22004
Tick 276 (day 15 hr 12): 1840			 op: 0;	dp: 104518;	u1: 0;	u2: 3324 (0);	u3: 10877 (637);	u4: 0 (0);	peas: 24316
